---------------------------------
route1 default 10,33 -1,-1 false true false ROUTE 1#PALLET TOWN -#VIRIDIAN CITY
viridian default 26,33 -1,-1 false true false TRAINER TIPS#@The battle moves#of POK^MON are#limited by their#POWER POINTS, PP.#@To replenish PP,#rest your tired#POK^MON at a#POK^MON CENTER!
viridian default 22,21 -1,-1 false true false VIRIDIAN CITY#The Eternally#Green Paradise
viridian default 13,26 -1,-1 false true true %
viridian default 19,8 -1,-1 false true true %
viridian default 24,5 -1,1 false true false TRAINER TIPS#@Catch POK^MON#and expand your#collection!#@The more you have,#the easier it is#to fight!
viridian viridian1 8,2 -1,-1 false true false Crammed full of#POK^MON books!
viridian viridian1 4,5 -1,-1 false true false Looked at the#notebook!#@First page...#@POK^ BALLs are#used to catch#POK^MON.#@Up to 6 POK^MON#can be carried.#@People who raise#and make POK^MON#fight are called#POK^MON trainers.#@Second page...#@A healthy POK^MON#may be hard to#catch, so weaken#it first!#@Poison, burns and#other damage are#effective!#@Third page...#@POK^MON trainers#seek others to#engage in POK^MON#fights.#@Battles are#constantly fought#at POK^MON GYMs.#@Fourth page...#@The goal for#POK^MON trainers#is to beat the#top 8 POK^MON#GYM LEADERs.#@Do so to earn the#right to face...#@The ELLITE FOUR of#POK^MON LEAGUE!#@GIRL: Hey! Don't#look at my notes!
viridian viridian2 1,2 -1,-1 false true false Crammed full of#POK^MON books!
viridian viridian2 2,2 -1,-1 false true false Crammed full of#POK^MON books!
viridian viridian2 8,2 -1,-1 false true false Crammed full of#POK^MON books!
viridian viridianPokeCenter 1,5 -1,-1 false true false POK^MON CENTERs#heal your tired,#hurt or fainted#POK^MON!
viridian viridianMarket 5,5 -1,-1 false true false WOW! Tons of#POK^MON stuff!
viridian viridianMarket 6,5 -1,-1 false true false WOW! Tons of#POK^MON stuff!
viridian viridianMarket 7,5 -1,-1 false true false WOW! Tons of#POK^MON stuff!
viridian viridianMarket 8,5 -1,-1 false true false WOW! Tons of#POK^MON stuff!
route2 default 10,30 -1,-1 false true false ROUTE 2#VIRIDIAN CITY -#PEWTER CITY
route2 default 14,38 -1,-1 false true false TRAINER TIPS#@Catch POK^MON#and expand your#collection!#@The more you have,#the easier it is#to fight!
route2 default 18,19 6,8 true true false PLAYERNAME found#MOON STONE!
route2 default 18,10 6,8 true true false PLAYERNAME found#SUPER POTION!
viridianForest default 6,2 -1,-1 false true false TRAINER TIPS#@If you want to#avoid battles,#stay away from#grassy areas!
viridianForest default 8,25 -1,-1 false true false TRAINER TIPS#@No stealing of#POK^MON from#other trainers!#Catch only wild#POK^MON!
viridianForest default 16,30 6,8 true true false PLAYERNAME found#POTION!
viridianForest default 29,12 6,8 true true false PLAYERNAME found#POTION!
viridianForest default 30,18 -1,-1 false true false TRAINER TIPS#@Contact PROF.OAK#via PC to get#your POK^DEX#evaluated!
viridianForest default 28,41 -1,-1 false true false TRAINER TIPS#@If you want to#avoid battles,#stay away from#grassy areas!
viridianForest default 20,33 -1,-1 false true false For poison, use#ANTIDOTE! Get it#at POK^MON MARTs!
viridianForest default 22,46 -1,-1 false true false TRAINER TIPS#@Weaken POK^MON#before attempting#capture!#@When healthy,#they may escape!
viridianForest default 5,32 6,8 true true false PLAYERNAME found#POK^ BALL!
route22 default 10,14 -1,-1 false true false POK^MON LEAGUE#Front Gate
